sample_name	unit_name	fq1	fq2	sra	adapters	strandedness
12181_179803.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/12181/12181_179803.T.T02/12181_179803.T.T02.S2/12181_179803.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/12181/12181_179803.T.T02/12181_179803.T.T02.S2/12181_179803.T.T02.S2.R2.fq.gz			reverse
19479_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/19479/19479_000000.T.T02/19479_000000.T.T02.S2/19479_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/19479/19479_000000.T.T02/19479_000000.T.T02.S2/19479_000000.T.T02.S2.R2.fq.gz			reverse
19484_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/19484/19484_000000.T.T02/19484_000000.T.T02.S2/19484_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/19484/19484_000000.T.T02/19484_000000.T.T02.S2/19484_000000.T.T02.S2.R2.fq.gz			reverse
19768_137412.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/19768/19768_137412.T.T02/19768_137412.T.T02.S2/19768_137412.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/19768/19768_137412.T.T02/19768_137412.T.T02.S2/19768_137412.T.T02.S2.R2.fq.gz			reverse
20055_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/20055/20055_000000.T.T02/20055_000000.T.T02.S2/20055_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/20055/20055_000000.T.T02/20055_000000.T.T02.S2/20055_000000.T.T02.S2.R2.fq.gz			reverse
20256_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/20256/20256_000000.T.T02/20256_000000.T.T02.S2/20256_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/20256/20256_000000.T.T02/20256_000000.T.T02.S2/20256_000000.T.T02.S2.R2.fq.gz			reverse
20362_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/20362/20362_000000.T.T02/20362_000000.T.T02.S2/20362_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/20362/20362_000000.T.T02/20362_000000.T.T02.S2/20362_000000.T.T02.S2.R2.fq.gz			reverse
20458_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/20458/20458_000000.T.T02/20458_000000.T.T02.S2/20458_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/20458/20458_000000.T.T02/20458_000000.T.T02.S2/20458_000000.T.T02.S2.R2.fq.gz			reverse
20594_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/20594/20594_000000.T.T02/20594_000000.T.T02.S2/20594_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/20594/20594_000000.T.T02/20594_000000.T.T02.S2/20594_000000.T.T02.S2.R2.fq.gz			reverse
20901_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/20901/20901_000000.T.T02/20901_000000.T.T02.S2/20901_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/20901/20901_000000.T.T02/20901_000000.T.T02.S2/20901_000000.T.T02.S2.R2.fq.gz			reverse
20901_000001.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/20901/20901_000001.T.T02/20901_000001.T.T02.S2/20901_000001.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/20901/20901_000001.T.T02/20901_000001.T.T02.S2/20901_000001.T.T02.S2.R2.fq.gz			reverse
21811_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/21811/21811_000000.T.T02/21811_000000.T.T02.S2/21811_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/21811/21811_000000.T.T02/21811_000000.T.T02.S2/21811_000000.T.T02.S2.R2.fq.gz			reverse
21904_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/21904/21904_000000.T.T02/21904_000000.T.T02.S2/21904_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/21904/21904_000000.T.T02/21904_000000.T.T02.S2/21904_000000.T.T02.S2.R2.fq.gz			reverse
22038_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22038/22038_000000.T.T02/22038_000000.T.T02.S2/22038_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22038/22038_000000.T.T02/22038_000000.T.T02.S2/22038_000000.T.T02.S2.R2.fq.gz			reverse
22049_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22049/22049_000000.T.T02/22049_000000.T.T02.S2/22049_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22049/22049_000000.T.T02/22049_000000.T.T02.S2/22049_000000.T.T02.S2.R2.fq.gz			reverse
22060_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22060/22060_000000.T.T02/22060_000000.T.T02.S2/22060_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22060/22060_000000.T.T02/22060_000000.T.T02.S2/22060_000000.T.T02.S2.R2.fq.gz			reverse
22112_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22112/22112_000000.T.T02/22112_000000.T.T02.S2/22112_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22112/22112_000000.T.T02/22112_000000.T.T02.S2/22112_000000.T.T02.S2.R2.fq.gz			reverse
22226_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22226/22226_000000.T.T02/22226_000000.T.T02.S2/22226_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22226/22226_000000.T.T02/22226_000000.T.T02.S2/22226_000000.T.T02.S2.R2.fq.gz			reverse
22242_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22242/22242_000000.T.T02/22242_000000.T.T02.S2/22242_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22242/22242_000000.T.T02/22242_000000.T.T02.S2/22242_000000.T.T02.S2.R2.fq.gz			reverse
22286_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22286/22286_000000.T.T02/22286_000000.T.T02.S2/22286_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22286/22286_000000.T.T02/22286_000000.T.T02.S2/22286_000000.T.T02.S2.R2.fq.gz			reverse
22320_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22320/22320_000000.T.T02/22320_000000.T.T02.S2/22320_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22320/22320_000000.T.T02/22320_000000.T.T02.S2/22320_000000.T.T02.S2.R2.fq.gz			reverse
22339_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22339/22339_000000.T.T02/22339_000000.T.T02.S2/22339_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22339/22339_000000.T.T02/22339_000000.T.T02.S2/22339_000000.T.T02.S2.R2.fq.gz			reverse
22340_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22340/22340_000000.T.T02/22340_000000.T.T02.S2/22340_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22340/22340_000000.T.T02/22340_000000.T.T02.S2/22340_000000.T.T02.S2.R2.fq.gz			reverse
22448_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22448/22448_000000.T.T02/22448_000000.T.T02.S2/22448_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22448/22448_000000.T.T02/22448_000000.T.T02.S2/22448_000000.T.T02.S2.R2.fq.gz			reverse
22481_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22481/22481_000000.T.T02/22481_000000.T.T02.S2/22481_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22481/22481_000000.T.T02/22481_000000.T.T02.S2/22481_000000.T.T02.S2.R2.fq.gz			reverse
22484_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22484/22484_000000.T.T02/22484_000000.T.T02.S2/22484_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22484/22484_000000.T.T02/22484_000000.T.T02.S2/22484_000000.T.T02.S2.R2.fq.gz			reverse
22487_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22487/22487_000000.T.T02/22487_000000.T.T02.S2/22487_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22487/22487_000000.T.T02/22487_000000.T.T02.S2/22487_000000.T.T02.S2.R2.fq.gz			reverse
22488_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22488/22488_000000.T.T02/22488_000000.T.T02.S2/22488_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22488/22488_000000.T.T02/22488_000000.T.T02.S2/22488_000000.T.T02.S2.R2.fq.gz			reverse
22589_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22589/22589_000000.T.T02/22589_000000.T.T02.S2/22589_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22589/22589_000000.T.T02/22589_000000.T.T02.S2/22589_000000.T.T02.S2.R2.fq.gz			reverse
22597_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22597/22597_000000.T.T02/22597_000000.T.T02.S2/22597_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22597/22597_000000.T.T02/22597_000000.T.T02.S2/22597_000000.T.T02.S2.R2.fq.gz			reverse
22599_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22599/22599_000000.T.T02/22599_000000.T.T02.S2/22599_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22599/22599_000000.T.T02/22599_000000.T.T02.S2/22599_000000.T.T02.S2.R2.fq.gz			reverse
22600_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22600/22600_000000.T.T02/22600_000000.T.T02.S2/22600_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22600/22600_000000.T.T02/22600_000000.T.T02.S2/22600_000000.T.T02.S2.R2.fq.gz			reverse
22603_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22603/22603_000000.T.T02/22603_000000.T.T02.S2/22603_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22603/22603_000000.T.T02/22603_000000.T.T02.S2/22603_000000.T.T02.S2.R2.fq.gz			reverse
22604_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22604/22604_000000.T.T02/22604_000000.T.T02.S2/22604_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22604/22604_000000.T.T02/22604_000000.T.T02.S2/22604_000000.T.T02.S2.R2.fq.gz			reverse
22607_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22607/22607_000000.T.T02/22607_000000.T.T02.S2/22607_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22607/22607_000000.T.T02/22607_000000.T.T02.S2/22607_000000.T.T02.S2.R2.fq.gz			reverse
22668_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22668/22668_000000.T.T02/22668_000000.T.T02.S2/22668_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22668/22668_000000.T.T02/22668_000000.T.T02.S2/22668_000000.T.T02.S2.R2.fq.gz			reverse
22925_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/22925/22925_000000.T.T02/22925_000000.T.T02.S2/22925_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/22925/22925_000000.T.T02/22925_000000.T.T02.S2/22925_000000.T.T02.S2.R2.fq.gz			reverse
23342_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/23342/23342_000000.T.T02/23342_000000.T.T02.S2/23342_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/23342/23342_000000.T.T02/23342_000000.T.T02.S2/23342_000000.T.T02.S2.R2.fq.gz			reverse
23374_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/23374/23374_000000.T.T02/23374_000000.T.T02.S2/23374_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/23374/23374_000000.T.T02/23374_000000.T.T02.S2/23374_000000.T.T02.S2.R2.fq.gz			reverse
23388_178001.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/23388/23388_178001.T.T02/23388_178001.T.T02.S2/23388_178001.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/23388/23388_178001.T.T02/23388_178001.T.T02.S2/23388_178001.T.T02.S2.R2.fq.gz			reverse
23495_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/23495/23495_000000.T.T02/23495_000000.T.T02.S2/23495_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/23495/23495_000000.T.T02/23495_000000.T.T02.S2/23495_000000.T.T02.S2.R2.fq.gz			reverse
23549_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/23549/23549_000000.T.T02/23549_000000.T.T02.S2/23549_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/23549/23549_000000.T.T02/23549_000000.T.T02.S2/23549_000000.T.T02.S2.R2.fq.gz			reverse
23597_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/23597/23597_000000.T.T02/23597_000000.T.T02.S2/23597_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/23597/23597_000000.T.T02/23597_000000.T.T02.S2/23597_000000.T.T02.S2.R2.fq.gz			reverse
24077_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24077/24077_000000.T.T02/24077_000000.T.T02.S2/24077_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24077/24077_000000.T.T02/24077_000000.T.T02.S2/24077_000000.T.T02.S2.R2.fq.gz			reverse
24282_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24282/24282_000000.T.T02/24282_000000.T.T02.S2/24282_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24282/24282_000000.T.T02/24282_000000.T.T02.S2/24282_000000.T.T02.S2.R2.fq.gz			reverse
24453_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24453/24453_000000.T.T02/24453_000000.T.T02.S2/24453_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24453/24453_000000.T.T02/24453_000000.T.T02.S2/24453_000000.T.T02.S2.R2.fq.gz			reverse
24455_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24455/24455_000000.T.T02/24455_000000.T.T02.S2/24455_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24455/24455_000000.T.T02/24455_000000.T.T02.S2/24455_000000.T.T02.S2.R2.fq.gz			reverse
24457_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24457/24457_000000.T.T02/24457_000000.T.T02.S2/24457_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24457/24457_000000.T.T02/24457_000000.T.T02.S2/24457_000000.T.T02.S2.R2.fq.gz			reverse
24458_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24458/24458_000000.T.T02/24458_000000.T.T02.S2/24458_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24458/24458_000000.T.T02/24458_000000.T.T02.S2/24458_000000.T.T02.S2.R2.fq.gz			reverse
24544_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24544/24544_000000.T.T02/24544_000000.T.T02.S2/24544_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24544/24544_000000.T.T02/24544_000000.T.T02.S2/24544_000000.T.T02.S2.R2.fq.gz			reverse
24580_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24580/24580_000000.T.T02/24580_000000.T.T02.S2/24580_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24580/24580_000000.T.T02/24580_000000.T.T02.S2/24580_000000.T.T02.S2.R2.fq.gz			reverse
24723_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24723/24723_000000.T.T02/24723_000000.T.T02.S2/24723_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24723/24723_000000.T.T02/24723_000000.T.T02.S2/24723_000000.T.T02.S2.R2.fq.gz			reverse
24757_172723.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24757/24757_172723.T.T02/24757_172723.T.T02.S2/24757_172723.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24757/24757_172723.T.T02/24757_172723.T.T02.S2/24757_172723.T.T02.S2.R2.fq.gz			reverse
24797_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24797/24797_000000.T.T02/24797_000000.T.T02.S2/24797_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24797/24797_000000.T.T02/24797_000000.T.T02.S2/24797_000000.T.T02.S2.R2.fq.gz			reverse
24863_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24863/24863_000000.T.T02/24863_000000.T.T02.S2/24863_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24863/24863_000000.T.T02/24863_000000.T.T02.S2/24863_000000.T.T02.S2.R2.fq.gz			reverse
24885_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24885/24885_000000.T.T02/24885_000000.T.T02.S2/24885_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24885/24885_000000.T.T02/24885_000000.T.T02.S2/24885_000000.T.T02.S2.R2.fq.gz			reverse
24914_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/24914/24914_000000.T.T02/24914_000000.T.T02.S2/24914_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/24914/24914_000000.T.T02/24914_000000.T.T02.S2/24914_000000.T.T02.S2.R2.fq.gz			reverse
25080_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/25080/25080_000000.T.T02/25080_000000.T.T02.S2/25080_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/25080/25080_000000.T.T02/25080_000000.T.T02.S2/25080_000000.T.T02.S2.R2.fq.gz			reverse
25217_158899.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/25217/25217_158899.T.T02/25217_158899.T.T02.S2/25217_158899.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/25217/25217_158899.T.T02/25217_158899.T.T02.S2/25217_158899.T.T02.S2.R2.fq.gz			reverse
25223_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/25223/25223_000000.T.T02/25223_000000.T.T02.S2/25223_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/25223/25223_000000.T.T02/25223_000000.T.T02.S2/25223_000000.T.T02.S2.R2.fq.gz			reverse
25526_000000.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/25526/25526_000000.T.T02/25526_000000.T.T02.S2/25526_000000.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/25526/25526_000000.T.T02/25526_000000.T.T02.S2/25526_000000.T.T02.S2.R2.fq.gz			reverse
25561_172721.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/25561/25561_172721.T.T02/25561_172721.T.T02.S2/25561_172721.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/25561/25561_172721.T.T02/25561_172721.T.T02.S2/25561_172721.T.T02.S2.R2.fq.gz			reverse
25782_177982.T.T02.S2	lane1	/home/projects/dtu_00011/data/icope_seq_data/25782/25782_177982.T.T02/25782_177982.T.T02.S2/25782_177982.T.T02.S2.R1.fq.gz	/home/projects/dtu_00011/data/icope_seq_data/25782/25782_177982.T.T02/25782_177982.T.T02.S2/25782_177982.T.T02.S2.R2.fq.gz			reverse
